교육주차,기수,교육과정,교육기간,교육시작일,교육종료일,인원
9월 2주차 (9.8.~9.12.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
9월 2주차 (9.8.~9.12.),3,과장급 필수 역량향상 과정,4일,2025-09-09,2025-09-12,20
9월 2주차 (9.8.~9.12.),3,경남의 섬 과정,4일,2025-09-09,2025-09-12,30
9월 2주차 (9.8.~9.12.),5,7·8급 승진자 역량향상 과정,4일,2025-09-09,2025-09-12,30
9월 2주차 (9.8.~9.12.),3,드론 이해와 실전 활용 과정,3일,2025-09-10,2025-09-12,20
9월 2주차 (9.8.~9.12.),5,시·군 팀장 리더십 과정,3일,2025-09-10,2025-09-12,20
9월 2주차 (9.8.~9.12.),2,보조금 담당자 실무 과정(★),2일,2025-09-11,2025-09-12,30
9월 2주차 (9.8.~9.12.),2,식품 위생감시원 직무 교육 과정,1일,2025-09-12,2025-09-12,30
9월 3주차 (9.15.~9.19.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
9월 3주차 (9.15.~9.19.),4,미래설계 과정,2주,2025-09-15,2025-09-26,50
9월 3주차 (9.15.~9.19.),1,감사 업무 향상 과정,1일,2025-09-16,2025-09-16,20
9월 3주차 (9.15.~9.19.),2,시·군 팀장 역량향상 과정,3일,2025-09-17,2025-09-19,20
9월 3주차 (9.15.~9.19.),4,재난관리 실무 과정,3일,2025-09-17,2025-09-19,40
9월 3주차 (9.15.~9.19.),4,엑셀 활용 과정,1일,2025-09-19,2025-09-19,30
9월 4주차 (9.22.~9.26.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
9월 4주차 (9.22.~9.26.),4,미래설계 과정,2주,2025-09-15,2025-09-26,50
9월 4주차 (9.22.~9.26.),1,우주항공산업 발전과 미래,3일,2025-09-24,2025-09-26,20
9월 4주차 (9.22.~9.26.),8,신규공무원 역량향상 심화 과정,3일,2025-09-24,2025-09-26,40
9월 4주차 (9.22.~9.26.),2,항노화산업 탐방 과정,3일,2025-09-24,2025-09-26,30
9월 4주차 (9.22.~9.26.),2,승마 과정,3일,2025-09-24,2025-09-26,20
9월 4주차 (9.22.~9.26.),1,AI와 빅데이터 활용,3일,2025-09-24,2025-09-26,30
10월 1주차 (9.29.~10.3.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
10월 1주차 (9.29.~10.3.),3,6급 승진자 역량향상 과정,3일,2025-09-29,2025-10-02,20
10월 1주차 (9.29.~10.3.),2,재난안전 관리자 과정,1일,2025-09-30,2025-09-30,30
10월 1주차 (9.29.~10.3.),2,소통의 고수! 민원응대 스킬업 과정(★),2일,2025-10-01,2025-10-02,30
10월 1주차 (9.29.~10.3.),1,인포그래픽 활용 과정,2일,2025-10-01,2025-10-02,30
10월 1주차 (9.29.~10.3.),2,공직자 이해충돌 방지 과정,1일,2025-10-02,2025-10-02,30
10월 2주차 (10.6.~10.10.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
10월 3주차 (10.13.~10.17.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
10월 3주차 (10.13.~10.17.),5,미래설계 과정,2주,2025-10-13,2025-10-24,50
10월 3주차 (10.13.~10.17.),2,홍보실무 과정,2일,2025-10-16,2025-10-17,30
10월 3주차 (10.13.~10.17.),4,한글 활용 과정,1일,2025-10-17,2025-10-17,30
10월 4주차 (10.20.~10.24.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
10월 4주차 (10.20.~10.24.),5,미래설계 과정,2주,2025-10-13,2025-10-24,50
10월 4주차 (10.20.~10.24.),4,신규임용(후보)자 과정,3주,2025-10-20,2025-11-07,180
10월 4주차 (10.20.~10.24.),3,스마트기기 활용 과정,3일,2025-10-22,2025-10-24,30
10월 4주차 (10.20.~10.24.),4,드론 이해와 실전 활용 과정,3일,2025-10-22,2025-10-24,20
10월 4주차 (10.20.~10.24.),2,[교류]동서통합 문화관광 탐방 과정,3일,2025-10-22,2025-10-24,30
10월 4주차 (10.20.~10.24.),1,정수장 관리 실무,2일,2025-10-23,2025-10-24,20
10월 5주차 (10.27.~10.31.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
10월 5주차 (10.27.~10.31.),4,신규임용(후보)자 과정,3주,2025-10-20,2025-11-07,180
10월 5주차 (10.27.~10.31.),2,지리산 천왕봉 힐링 과정,3일,2025-10-29,2025-10-31,40
10월 5주차 (10.27.~10.31.),2,1인 방송과 영상제작 과정,3일,2025-10-29,2025-10-31,30
10월 5주차 (10.27.~10.31.),6,시·군 팀장 리더십 과정,3일,2025-10-29,2025-10-31,20
11월 1주차 (11.3.~11.7.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
11월 1주차 (11.3.~11.7.),4,신규임용(후보)자 과정,3주,2025-10-20,2025-11-07,180
11월 1주차 (11.3.~11.7.),5,신규임용(후보)자 과정,3주,2025-11-03,2025-11-21,180
11월 1주차 (11.3.~11.7.),6,7·8급 승진자 역량향상 과정,4일,2025-11-04,2025-11-07,30
11월 1주차 (11.3.~11.7.),2,공공언어 바르게 쓰기,3일,2025-11-05,2025-11-07,30
11월 1주차 (11.3.~11.7.),5,재난관리 실무 과정,3일,2025-11-05,2025-11-07,40
11월 1주차 (11.3.~11.7.),1,공공기관 소방안전 관리자 과정(★),3일,2025-11-05,2025-11-07,30
