교육과정,기수,분류,교육시작일,교육종료일,교육장소,교육인원,전반만족도,역량향상도,현업적용도,교과편만족도,강의만족도,종합만족도,순위
소통의 고수! 민원응대 스킬업 과정,1,직무(공통),2025-04-10,2025-04-11,인재개발원,15,4.86,4.79,4.86,4.79,4.82,4.8,9
디지털 행정서비스 과정,1,직무(공통),2025-06-12,2025-06-13,인재개발원,23,4.86,4.86,4.86,4.86,4.91,4.8,10
코칭 리더십 과정,1,기본(리더십),2025-05-08,2025-05-09,현장캠퍼스,15,4.93,4.71,4.64,4.64,4.89,4.79,11
가야사 바로알기 과정,2,기본(기본),2025-05-14,2025-05-16,현장캠퍼스,26,4.85,4.81,4.73,4.85,4.55,4.79,12
경남의 섬 과정,2,직무(인문·소양),2025-05-27,2025-05-30,현장캠퍼스,30,4.83,4.7,4.53,4.8,4.8,4.78,13
MICE 사업유치 역량 강화 과정,1,핵심(핵심과제),2025-06-18,2025-06-20,인재개발원,6,4.83,4.83,4.67,4.83,4.83,4.78,14
미래설계 과정,1,직무(인문·소양),2025-04-21,2025-05-02,인재개발원,47,4.82,4.72,4.69,4.72,4.65,4.78,15
식품 위생감시원 직무교육 과정,1,직무(전문),2025-02-25,2025-02-25,인재개발원,33,4.9,4.81,4.81,4.77,4.93,4.77,16
지리산 천왕봉 힐링 과정,1,직무(인문·소양),2025-05-07,2025-05-09,현장캠퍼스,31,4.9,4.83,4.55,4.79,4.77,4.76,17
다문화와 사회통합 교육 과정,1,핵심(핵심과제),2025-04-17,2025-04-18,인재개발원,10,4.75,4.63,4.5,5,4.84,4.76,18
과장급 필수 역량향상 과정,1,기본(리더십),2025-02-25,2025-02-28,인재개발원,20,4.8,4.8,4.8,4.7,4.76,4.75,19
생성형 AI 실습 과정,1,핵심(디지털),2025-03-12,2025-03-14,인재개발원,30,4.9,4.9,4.83,4.72,4.89,4.74,20
미래설계 과정,2,직무(인문·소양),2025-05-19,2025-05-30,인재개발원,26,4.87,4.79,4.48,4.77,4.69,4.74,21
"세대와 마음을 잇는 소통 ON, 공감 UP 과정",2,기본(기본),2025-05-08,2025-05-09,현장캠퍼스,13,4.75,4.67,4.67,4.67,4.74,4.72,22
홍보실무 과정,1,직무(공통),2025-05-22,2025-05-23,인재개발원,12,4.91,4.82,4.73,4.73,4.68,4.72,23
스마트기기 활용 과정,1,핵심(디지털),2025-04-09,2025-04-11,인재개발원,26,4.77,4.62,4.73,4.73,4.8,4.71,24
지속가능발전 목표 이행 과정,1,직무(전문),2025-05-21,2025-05-23,인재개발원,8,4.75,4.63,4.75,4.63,4.78,4.7,25
가야사 바로알기 과정,1,직무(인문·소양),2025-04-02,2025-04-04,현장캠퍼스,12,4.82,4.82,4.09,4.82,4.66,4.7,26
